,Islamic,,Islamic_History,,Personality,,Short Story,,Poetry,,Language,,Geography,,History,,Scientific,,Society,,Novel
Tanqeedi Tameerat,1,Ashab-e-kaif aur yajooj Majooj,1,Hamid Baba,2,Bicycle Magic,1,lafz Khurdare,1,Brahwi Lisaniyat,1,High Point,1,Tarikh-o-Riyasat,1,Meezan-e-Science,1,Nizam-e-Taleem,1,Ghadar,1
Auraton ke Imtiazi Masail,1,Sunehre naqoosh,3,Nabi Kareem bahesiat Mualim,1,Read to me,1,Deewan-e-Atish,2,balochi Journalism,1,Loss Angeles,1,Qaidi samraj,1,Farhang-e-Riazi,1,Inani Haqooq,1,Baap aur baiten,1
Bachon ki tarbiat,1,Fatah-e-Qustuntunia,1,Iqbal Bargah-e-Risalat mein,1,Jungle Book,1,Love & poem,1,Lughat-ul-Quran,1,Young Students learning Library,1,Current Affairs,1,Insan ki Kahani,1,Roshan Sitare,1,Black water,1
Islami Adab-e-Muashara,1,Asbaq-e-Tarikh,2,Amir taimoor,2,Bache ka Muqadma,1,Tree knows me,1,Arabic-Urdu Lughata,1,,,England 20th,1,Basic Bio Chemistry,2,Falsafa-e-Muhabbat,2,Shaitani Kanisa,1
Mazhab aur dor-e-Jadeed,1,Bachon ke Liye Sunehri Seerat,2,20th sadi ke 100 azeem Shakhsiyat,1,Dunyan ki behtareen kahaniya,1,,,Tafheem-ul-Quran,1,,,Roman's war in Africa,1,Psychology,1,21 Lessons For the 21th Century,1,OLD Yeller,1
zadrah,1,Auraq-e-Tarikh,2,syedna usman Ghani,1,Anokha Safar,2,,,Literature,1,,,India Muslim Since Independence,1,Math,1,Sab se suchi Kahani,1,Sazish,1
Fikar-o-Aqida sirat-e-Mustaqeem,1,Sunehri Kirne,1,Life of Salahuddin ayubi,1,Sweet Valley,1,,,Pashto Malzoom(Pashto),1,,,Mehargarh,1,Bio Of Micro Organisms,1,Personal development,2,Dashte wafa,1
Taharat ke Ruhani aur jismnai fawaid,1,Balochistan Mein sahaba Karam,1,Buqrat,2,Of Mice And Men,2,,,DA Zhob par Ghar(Pashto),1,,,Maloomat-e-Pakistan,1,LDR Chemistry,1,Dil Do Ya Samandar,1,tais,1
Dini maloomat,1,Hayat-e-Tabaeen ke Darkhashan Pehloon,1,Mustafa Kamal Pasha,2,Gaane Wala 12 singha,1,,,Arabic Course,1,,,Mohinjo Daro,1,Business statistics And Math,1,Shama Teen Parwane,1,Bathka Hua Sifahi,1
jamal-e-Mustafa,1,,,Muazam Ali,2,Sunehra goongha,1,,,Hamare Muhawre,1,,,Khufiya Reportein,1,Discrete Math,1,talkhiyan,1,Mujhe Kha Gaye,1
Dawat-e-Din Kahan Di jaye,1,,,100 Muslim Shakhsiyat,1,Biily bud and other ,1,,,Sta Yaadona(Pashto),1,,,Abbasi inqalab,1,Business Mathematics,1,Friend not Master,1,Double Cross,1
Islam hi hamra intakhab qyue,1,,,Kahluid bin Waleed,1,Gift and Other Short story,1,,,,,,,Tarikh-e-Aqwam-e-Alam-e-Qadeem,3,Health And Physical Education,1,Ek General se Interview,2,Island Of Dead,1
Zameen insan Aur mazhab,1,,,Sultan Muhammad Fayeh,1,,,,,,,,,Tarikh-e-Qadeem,1,Insani Irtaqa,1,war within our Hearts,1,RAW,1
Lesson in islam,1,,,Quaid-e-Azam 20th sadi,1,,,,,,,,,Qadeem Baloch Qabail,1,,,known And Unknown,1,Poras ke hathi,1
islami culture,1,,,Sher shah Suri,1,,,,,,,,,Mashriq Ko Zara dekh,1,,,Millon the Floor,1,Muhasra,1
Book of Manners,1,,,Triq Bin Ziyad,1,,,,,,,,,shaitaniyat ki tarikh,2,,,Saqafat,1,Panch Novelet,1
Islam Aur Falsafa,4,,,Usman Ghani,1,,,,,,,,,History of Baloch race and Balochistan,1,,,Qatra qatra Qulzam,2,Babu,1
Khudi,1,,,babar,1,,,,,,,,,Jadeed Dunya ki Tarikh,1,,,Anmol Moti,1,Dastak na do,2
Zina Ki Sangini,1,,,General Mujeeb,1,,,,,,,,,America Par Hamla,1,,,Haqayat-e-Luqman,1,Samandar Mujhe Bulata hai,1
Islami Nizam-e-Taleem,1,,,Tipu sultan,1,,,,,,,,,Judgement History,2,,,bahut ache Aqwal,1,Bazahir,1
Islam Kya hai,1,,,Falcon Kon Tha,1,,,,,,,,,BABRI masjid,1,,,Molu musala,1,marat-ul-urus,1
Islam ka Nizam-e-Tarbiyat,1,,,Inasani Tehzeeb Ke Maamar,1,,,,,,,,,Flaklands War,1,,,Goron ke des mein,1,kahani ne khwab dekha,2
Arkan-e-Islam-o-Iman,1,,,Husain Bin Ali,1,,,,,,,,,Sakoot-t-Dhaka,1,,,,,Ajnabi,1
Ruh-e-Islam,1,,,Hazrat Nooh,1,,,,,,,,,Balochistan ke Qabail,1,,,,,Pehla Aur Aakhri Khat,1
Nature's Splend,1,,,Dai-e-Azam,1,,,,,,,,,All Shah's Men,1,,,,,shaitani shikanja,2
Palat ao Rab ki taraf,1,,,,,,,,,,,,,Pakistan Movement,1,,,,,clive cluster,1
Haqooq-o-Faraiz,1,,,,,,,,,,,,,International Affairs,1,,,,,kalash,1
Masnoon Namaz,1,,,,,,,,,,,,,Pakistan par Almi dehshatgado ka hamla,1,,,,,yalghar,2
Miras-e-Islam,1,,,,,,,,,,,,,Mehargarh,1,,,,,Adultry,1
Islami TArz-e-Zindagi,1,,,,,,,,,,,,,Afghan War,1,,,,,Firar ke Baad,3
Mubadi Falsafa,1,,,,,,,,,,,,,World Affairs,1,,,,,Honor,1
Hazrat usman Ke Faisalein,1,,,,,,,,,,,,,Gaza,1,,,,,The Kite Runner,2
Aurat Jaraim ke  daldal Mein,1,,,,,,,,,,,,,,,,,,,A thousand splendid suns ,1
Islami nizame zindagi,1,,,,,,,,,,,,,,,,,,,Creake down,3
Mukhatar-ul-Aqaid,1,,,,,,,,,,,,,,,,,,,red alert,1
,,,,,,,,,,,,,,,,,,,,janat ki talash,1
,,,,,,,,,,,,,,,,,,,,Curruption k aBhoot nach,1
,,,,,,,,,,,,,,,,,,,,black barty,2
,,,,,,,,,,,,,,,,,,,,Dragons of dalton,1
,,,,,,,,,,,,,,,,,,,,Naksal body aur mou gorile,1
,,,,,,,,,,,,,,,,,,,,aur hisar toot gaya,2
,,,,,,,,,,,,,,,,,,,,dare shikwa,2
,,,,,,,,,,,,,,,,,,,,qaim-e-Din,3
,,,,,,,,,,,,,,,,,,,,Digest-18,3
,,,,,,,,,,,,,,,,,,,,Drug Mafia,1
,,,,,,,,,,,,,,,,,,,,Main Dehshatgad kaise bana,2
,,,,,,,,,,,,,,,,,,,,Jasoos Kaise Banta hai,1
